title                                            	seller     	itemid      	买家  	买家等级                                      	价格	数量	时间                 	套餐            	买家vip                                                                      
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	如**9	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-23 15:47:11	颜色分类:黑色套餐:套餐二 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	s**4	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-23 15:21:25	颜色分类:黑色套餐:套餐一 	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	z**7	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-23 14:59:14	颜色分类:黑色套餐:套餐六 	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	y**乖	http://img.alicdn.com/newrank/b_blue_1.gif	  	1 	2016-01-23 13:47:22	颜色分类:黑色套餐:套餐二 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	潮**a	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-23 12:22:37	颜色分类:黑色套餐:套餐一 	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	王**1	http://img.alicdn.com/newrank/b_red_1.gif 	  	1 	2016-01-23 10:45:36	颜色分类:黑色套餐:套餐六 	                                                                           
【蚂蚁摄影】单反数码照相机Canon/佳能 700D 18-55套机联保行货           	搜酷数码专营店    	44231886556 	x**7	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-23 10:05:29	颜色分类:黑色套餐:套餐三 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	e**1	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-26 16:13:03	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	乐**贸	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-26 13:47:20	颜色分类:黑色套餐:套餐一 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	w**7	http://img.alicdn.com/newrank/b_red_2.gif 	  	1 	2016-01-25 21:10:22	颜色分类:黑色套餐:套餐四 	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	1**a	http://img.alicdn.com/newrank/b_red_4.gif 	  	1 	2016-01-25 14:07:01	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i1/T1GYuIXcRkXXXXXXXX-16-16.png" alt="V3会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	零**e	http://img.alicdn.com/newrank/b_red_3.gif 	  	1 	2016-01-24 19:35:12	颜色分类:黑色套餐:套餐七 	<img src="//img.alicdn.com/tps/i3/T1PbuIXclkXXXXXXXX-16-16.png" alt="V1会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	c**7	http://img.alicdn.com/newrank/b_red_5.gif 	  	1 	2016-01-23 18:17:52	颜色分类:黑色套餐:套餐八 	<img src="//img.alicdn.com/tps/i4/T1FHuIXcNkXXXXXXXX-16-16.png" alt="V2会员">
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	林**3	http://img.alicdn.com/newrank/b_red_2.gif 	  	1 	2016-01-23 11:26:21	颜色分类:黑色套餐:套餐八 	                                                                           
【分期0首付】蚂蚁摄影单反数码相机Canon/佳能700D18-135 套机           	搜酷数码专营店    	44796687857 	1**涛	http://img.alicdn.com/newrank/b_blue_2.gif	  	1 	2016-01-22 21:59:45	颜色分类:黑色套餐:官方标配	                                                                           
